#year	doy	hr	Fe1p2	Fe130
1991	19	13	0.68215	4.2769
1991	19	14	0.70757	4.2670
1991	19	15	0.70757	4.2219
1991	19	16	0.73078	4.2405
1991	19	17	0.79449	4.1755
1991	19	18	0.81358	4.1837
1991	19	19	0.82282	4.1685
1991	19	20	0.81358	4.1336
1991	19	21	0.83251	4.0658
1991	19	22	0.86688	4.0563
1991	19	23	0.87506	4.0355
1991	20	0	0.88366	4.0340
1991	20	1	0.86688	4.0352
1991	20	2	0.83251	4.0304
1991	20	3	0.79449	4.0359
1991	20	4	0.75282	3.9986
1991	20	5	0.73078	4.0004
1991	20	6	0.68215	4.0246
1991	20	7	0.68215	4.0226
1991	20	8	0.70757	4.0294
1991	20	9	0.68215	4.0238
1991	20	10	0.59770	4.0176
1991	20	11	0.65610	4.0628
1991	20	12	0.68215	4.0183
1991	20	13	0.68215	4.0100
1991	20	14	0.68215	3.9825
1991	20	15	0.68215	3.9831
1991	20	16	0.71933	4.0691
1991	20	17	0.81358	4.0905
1991	20	18	0.86688	3.9200
1991	20	19	0.85003	3.8320
1991	20	20	0.85003	3.8022
1991	20	21	0.85003	3.7785
1991	20	22	0.81358	3.7770
1991	20	23	0.81358	3.7649
1991	21	0	0.81358	3.7633
1991	21	1	0.81358	3.7671
1991	21	2	0.79449	3.7535
1991	21	3	0.81358	3.7163
1991	21	4	0.73078	3.7213
1991	21	5	0.70757	3.9191
1991	21	6	0.70757	3.8761
1991	21	7	0.70757	3.8220
1991	21	8	0.68215	3.8225
1991	21	9	0.65610	3.8258
1991	21	10	0.62839	3.8164
1991	21	11	0.59770	3.7749
1991	21	12	0.59770	3.8277
1991	21	13	0.65610	3.8145
1991	21	14	0.65610	3.8060
1991	21	15	0.65610	3.7409
1991	21	16	0.73078	3.7400
1991	21	17	0.74194	3.7372
1991	21	18	0.78462	3.7712
1991	21	19	0.77452	3.7568
1991	21	20	0.85003	3.7676
1991	21	21	0.81358	3.7744
1991	21	22	0.85003	3.8111
1991	21	23	0.89927	3.8620
1991	22	0	0.88366	3.7736
1991	22	1	0.85003	3.7360
1991	22	2	0.84136	3.7352
1991	22	3	0.76418	3.7272
1991	22	4	0.70757	3.6798
1991	22	5	0.68215	3.6729
1991	22	6	0.64246	3.6364
1991	22	7	0.62839	3.6110
1991	22	8	0.59770	3.5957
1991	22	9	0.56585	3.5796
1991	22	10	0.49415	3.5664
1991	22	11	0.47276	3.5425
1991	22	12	0.49415	3.5520
1991	22	13	0.49415	3.5714
1991	22	14	0.53148	3.6214
1991	22	15	0.59770	3.6644
1991	22	16	0.65610	3.6652
1991	22	17	0.70757	3.6825
1991	22	18	0.73078	3.6981
1991	22	19	0.79449	3.7036
1991	22	20	0.85003	3.7129
1991	22	21	0.79449	3.6836
1991	22	22	0.79449	3.6809
1991	22	23	0.75282	3.6550
1991	23	0	0.70757	3.6112
1991	23	1	0.69548	3.6003
1991	23	2	0.68215	3.5863
1991	23	3	0.64246	3.5589
1991	23	4	0.53148	3.4977
1991	23	5	0.49415	3.4633
1991	23	6	0.45179	3.4367
1991	23	7	0.40654	3.4097
1991	23	8	0.35603	3.3216
1991	23	9	0.23045	3.1685
1991	23	10	0.23045	3.1961
1991	23	11	0.23045	3.4182
1991	23	12	0.29667	3.5081
1991	23	13	0.32634	3.4044
1991	23	14	0.35603	3.3536
1991	23	15	0.35603	3.6584
